Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Merchandise imports by the reporting economy (current US$),1419719663,1501186589,1301803189,1417643867,2424699540,2527133212,2801453778,4028663634,4691590687,6211352983,5981195202,6459215751,7134456312,7581264832,8540675719,7705020726
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",0.155654532200418,0.984236144145303,0.946813550938373,2.50450482144963,0.178714307835436,0.25880392726998,0.209562229657462,0.333967469670366,0.353401737409494,0.369361507272111,1.34785719705391,1.1383050796626,2.75319638119609,4.10268906168717,2.75103318203857,1.00809841741106
"Smoking prevalence, males (% of adults)",30.1,,,,,31.4,,,,,32.6,32.9,33.1,33.4,33.6,34.1
"Smoking prevalence, females (% of adults)",14.9,,,,,13,,,,,11.4,11.1,10.8,10.5,10.3,10
"Smoking prevalence, total (ages 15+)",22.3,,,,,21.8,,,,,21.5,21.5,21.4,21.4,21.4,21.5
Prevalence of anemia among pregnant women (%),35.4,35,34.6,34.2,33.7,33.1,32.5,31.8,31,30.3,29.6,28.9,28.4,27.9,27.5,27.2
Lifetime risk of maternal death (%),1.30769386727018,1.2740283813286,1.25029878206106,1.23051030845935,1.21288154087223,1.18012695198833,1.13835049357122,1.09210472114054,1.04595043094876,1.02578183735768,0.994658218781075,0.969120505247347,0.914655649241546,0.876058805147025,0.839756344378739,0.808960115699157
Lifetime risk of maternal death (1 in: rate varies by country),76,78,80,81,82,85,88,92,96,97,100,100,110,110,120,120
Number of maternal deaths,190,190,200,200,200,200,190,180,180,170,170,170,160,160,150,150
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),14.4,,,,,,9.8,9.8,,20.3,,,,8.4,,
Use of insecticide-treated bed nets (% of under-5 population),3.4000000954,,,,,,10.5,10.5,,34,,,,5.6,,
"Incidence of malaria (per 1,000 population at risk)",70.66,,,,,,,,,,1.51,2.09,3.27,4.41,13.96,10.44
"Specialist surgical workforce (per 100,000 population)",,,,,,,,,,,,,,5.96,,
"Physicians (per 1,000 people)",,,,,0.2976,,,0.3721,,,0.374,,,,,
"Nurses and midwives (per 1,000 people)",,,,,3.0584,,,2.7646,,,2.775,,,,,
"Community health workers (per 1,000 people)",,,,,,,,,,,,,,,,
"Hospital beds (per 1,000 people)",,,,,,,3.3,,,2.7,,,,,,
"Immunization, measles (% of children ages 12-23 months)",69,58,68,70,70,73,63,69,73,76,75,74,76,82,83,85
"Immunization, DPT (% of children ages 12-23 months)",79,78,77,79,81,86,86,86,83,83,83,82,84,89,88,92
"Immunization, HepB3 (% of one-year-old children)",,,,,,,,,,,83,82,84,89,88,92
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0,0,0,1,8,37,57,75,77,66,67,72,63,79,77,75
"Incidence of HIV (per 1,000 uninfected population ages 15-49)",17.7,15.8,14.4,13.4,12.5,11.7,10.9,10.1,9.5,9.3,9,8.2,7.8,7.6,6.5,6.1
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,17000,16000,15000,14000,14000,13000,12000,11000,10000,10000,9900,9200,9100,9000,7900,7600
Children (ages 0-14) newly infected with HIV,3100,3200,3200,3200,3000,2500,2200,1900,1700,1700,1400,1300,1400,1200,1100,1100
Adults (ages 15+) newly infected with HIV,14000,13000,12000,11000,11000,10000,9600,9100,8600,8600,8500,7900,7700,7800,6800,6600
Antiretroviral therapy coverage (% of people living with HIV),0,0,0,0,4,9,17,28,35,38,50,59,64,68,69,75
"Prevalence of HIV, male (% ages 15-24)",4.9,4.6,4.2,3.9,3.5,3.3,3,2.9,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6
"Prevalence of HIV, female (% ages 15-24)",11.1,10.6,9.9,9.2,8.4,7.8,7.2,6.7,6.3,6,5.9,5.7,5.5,5.4,5.2,5
Children (0-14) living with HIV,8800,9700,11000,11000,12000,12000,12000,13000,13000,13000,13000,14000,14000,14000,13000,13000
People using safely managed drinking water services (% of population),,,,,,,,,,,,,,,,
"People using safely managed drinking water services, urban (% of urban population)",,,,,,,,,,,,,,,,
"People using safely managed drinking water services, rural (% of rural population)",,,,,,,,,,,,,,,,
People using at least basic drinking water services (% of population),76.6693801560501,76.9134802452636,77.2611788770045,77.6274459456355,77.9931052412823,78.3565404202242,78.7185788021321,79.0785413783933,79.4366435503143,79.791048659345,80.143460150559,80.4923622714387,80.8459627971111,81.1961001675944,81.5427174881747,81.8849353752577
"People using at least basic drinking water services, urban (% of urban population)",97.9820325125736,97.8898378474455,97.7975952694749,97.7053047786617,97.612966375006,97.5205800585077,97.4281458291669,97.3356636869835,97.2431336319576,97.1505556640892,97.0579297833782,96.9652559898246,96.8725342834285,96.7797646641899,96.6869471321087,96.594081687185
"People using at least basic drinking water services, rural (% of rural population)",66.4670234448177,66.629432252792,66.7917466361103,66.9539665947727,67.1160921287789,67.2781232381291,67.4400599228233,67.6019021828616,67.7636500182437,67.9253034289698,68.0868624150399,68.248326976454,68.409697113212,68.5709728253141,68.73215411276,68.89324097555
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),63,,,,,,,70.6,,,,,,75.1,,
"Mortality rate, neonatal (per 1,000 live births)",22.7,22.6,22.2,21.6,20.6,19.4,18.3,17.6,17.2,17,16.9,16.9,16.9,16.8,16.6,16.4
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",25.6,,,,,24.3,,,,,23.2,,,,,21.6
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",28.6,,,,,27.3,,,,,26.2,,,,,24.8
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",23,,,,,21.9,,,,,20.9,,,,,19.2
"Mortality rate, under-5, male (per 1,000 live births)",82,,,,,,,,,,52.5,,,,,48.9
"Mortality rate, under-5, female (per 1,000 live births)",71.8,,,,,,,,,,43.9,,,,,40.7
"Mortality rate, under-5 (per 1,000 live births)",77.1,77.7,78,78.1,77.5,73.1,67.4,61.2,54.1,50.7,48.3,47.6,48,46.6,45.3,44.9
"Prevalence of HIV, total (% of population ages 15-49)",14,14.3,14.3,14.2,14,13.8,13.7,13.6,13.5,13.4,13.4,13.2,13.1,13,12.8,12.6
Women's share of population ages 15+ living with HIV (%),58.4,58.6,58.8,59,59.3,59.5,59.8,60,60.1,60.3,60.3,60.3,60.2,60.2,60.2,60.2
"Probability of dying at age 5-14 years (per 1,000 children age 5)",14.1,,,,,,,,,,13.7,,,,,12.7
Number of neonatal deaths,1255,1240,1221,1194,1154,1105,1067,1053,1056,1071,1092,1115,1133,1144,1144,1139
"Cause of death, by non-communicable diseases (% of total)",29.7,,,,,,,,,,37.7,,,,,40.4
Number of under-five deaths,4275,4285,4289,4292,4278,4070,3805,3536,3210,3093,3023,3044,3133,3095,3052,3064
"Cause of death, by injury (% of total)",8.2,,,,,,,,,,9.1,,,,,9.9
Number of infant deaths,2592,2570,2558,2553,2523,2374,2295,2287,2278,2352,2300,2342,2417,2367,2336,2303
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",62.1,,,,,,,,,,53.2,,,,,49.7
Number of deaths ages 5-14 years,699,,,,,,,,,,695,,,,,683
"Condom use, population ages 15-24, male (% of males ages 15-24)",65.1,,,,,,,78,,,,,,79.2,,
"Condom use, population ages 15-24, female (% of females ages 15-24)",41.8,,,,,,,54.8,,,,,,59.3,,
Prevalence of anemia among non-pregnant women (% of women ages 15-49),35.8,35.2,34.6,33.9,33.2,32.3,31.3,30.1,28.8,27.6,26.4,25.3,24.4,23.7,23.2,23
Prevalence of anemia among children (% of children under 5),51.8,51.7,51.7,51.6,51.5,51.3,51,50.8,50.4,50,49.7,49.3,48.8,48.3,47.9,47.4
Prevalence of anemia among women of reproductive age (% of women ages 15-49),35.8,35.2,34.6,33.9,33.2,32.3,31.3,30.2,29,27.8,26.6,25.6,24.7,24,23.5,23.3
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",,,,,,,,,,,20.2,,,,,
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,11.5,,,,,
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",,,,,,,,,,,3.7,,,,,
Women who believe a husband is justified in beating his wife when she refuses sex with him (%),,,,,,,,12,,,,,,7.8,,
Women who believe a husband is justified in beating his wife (any of five reasons) (%),,,,,,,,35.2,,,,,,28.2,,
Women who believe a husband is justified in beating his wife when she neglects the children (%),,,,,,,,25.9,,,,,,19.9,,
Women who believe a husband is justified in beating his wife when she goes out without telling him (%),,,,,,,,18.9,,,,,,12.9,,
Women who believe a husband is justified in beating his wife when she burns the food (%),,,,,,,,12.4,,,,,,10,,
Women who believe a husband is justified in beating his wife when she argues with him (%),,,,,,,,15.5,,,,,,11.5,,
Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49),,,,,,,,,,,,,,20.2,,
"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",,,,,,,,,,,,,,,,
"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",,,,,,,,,,,,,,,,
Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no),,,,,,,,,,1,,1,,1,,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),,,,,,,,,,1,,1,,1,,1
Legislation exists on domestic violence (1=yes; 0=no),,,,,,,,,,1,1,1,1,1,1,1
Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),,,,,,,,,,1,,1,,1,,1
Law mandates paid or unpaid maternity leave (1=yes; 0=no),,,,,,,,,,1,,1,,1,,1
Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),,,,,,,,2.14,,,2.2,,2.49,,2.695793,
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),,,,,,,,2,,,1.71,,2.72,,2.570793,
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),,,,,,,,2.14,,,1.68,,2.73,,2.272727,
"Lead time to import, median case (days)",,,,,,,,4,,,3,,3,,2,
"Lead time to export, median case (days)",,,,,,,,3,,,3,,2,,2,
Individuals using the Internet (% of population),1.644739547,2.416979442,2.633699769,3.359839886,3.804715615,4.010046644,4.398870647,4.835610778,5.329003772,6.5,11.6,12,12.9414,13.9,14.84,25.68785182
Secure Internet servers (per 1 million people),,,,,,,,,,,6.60728292479874,11.1281072341507,29.1600449064692,33.1317074917954,42.6668074231448,63.0695700556049
Secure Internet servers,,,,,,,,,,,14,24,64,74,97,146
Fixed broadband subscriptions (per 100 people),,,,,,0.006913203,0.010044047,0.012758446,0.01566022,0.022921188,0.445283674,0.816526004,1.095917,1.60017336,1.812773074,3.041508417
Fixed broadband subscriptions,,,,,,134,198,256,320,477,9435,17610,24053,35740,41212,70408
Fixed telephone subscriptions (per 100 people),6.13940602,6.437451472,6.557466475,6.778715748,6.706084933,7.171003756,6.907209749,6.886121901,7.113655027,7.144106516,7.412569129,7.375116961,7.802548133,8.217208087,8.031633356,7.883998645
Fixed telephone subscriptions,110176,117398,121413,127380,127935,138997,136163,138171,145360,148672,157063,159059,171249,183532,182593,182507
Mobile cellular subscriptions (per 100 people),4.569337184,5.845349383,8.101438653,11.90298422,14.9965011,23.15701226,30.88524068,39.88359912,51.48297391,78.40180217,92.0334102,101.7525402,97.81527377,122.1358061,117.4872868,110.1478506
Mobile cellular subscriptions,82000,106600,150000,223671,286095,448857,608846,800270,1052000,1631576,1950072,2194495,2146833,2727913,2670983,2549817
Container port traffic (TEU: 20 foot equivalent units),,,,,,,,148234,183605,265663,256276,223711,337124,304792,255246,255246
Liner shipping connectivity index (maximum value in 2004 = 100),,,,,6.28,6.61,8.52,8.37,11.12,13.61,14.45,12.02,15.18,15.5,18.94,18.45
Rail lines (total route-km),,,,,,,,,,,,,,,,
"Railways, passengers carried (million passenger-km)",,,,,,,,,,,,,,,,
"Railways, goods transported (million ton-km)",,,,,,,,,,,,,,,,
"Air transport, passengers carried",247147,215237,222009,265655,282915,399280,400947,430741,452167,454855,485849,540867.9,632330.085,510000,522216,553322
"Air transport, freight (million ton-km)",76.007,74.744,21.059,45.675,56.479,0,0,,,0,0.484,0.692604,0.88838849653504,0.677064,34.36805,30.302405
"Air transport, registered carrier departures worldwide",5161,5131,5080,6034,6137,6455,6513,6942,5450,5439,8836,9400,11711,8568,9197,10606
"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",,,,,,,,5.00520823776528,5.26330147417582,5.4167728837,5.6411847928,5.5,5.4,5.3,5.2,5.17832225686625
"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",,,,,,,,3.82857142857143,4.06923863571429,4.2313578673,4.2422063814,4.1,3.8,4,4.1,4.14000890552998
Source data assessment of statistical capacity (scale 0 - 100),,,,,50,50,50,60,60,40,40,50,50,50,40,40
Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),,,,,86.66667,86.66667,80,76.66667,80,80,76.66667,83.33333,80,73.3333333333333,66.6666666666667,73.3334
Statistical Capacity score (Overall average),,,,,58.8888888888889,58.8888888888889,56.6666666666667,58.8888888888889,56.6666666666667,50,52.2222222222222,57.7777777777778,56.6666666666667,54.4444444444444,48.8888888888889,47.7778
Methodology assessment of statistical capacity (scale 0 - 100),,,,,40,40,40,40,30,30,40,40,40,40,40,30
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",,,,,,,,,,,,,,,,
CPIA trade rating (1=low to 6=high),,,,,,,,,,,,,,,,
CPIA structural policies cluster average (1=low to 6=high),,,,,,,,,,,,,,,,
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),,,,,,,,,,,,,,,,
CPIA efficiency of revenue mobilization rating (1=low to 6=high),,,,,,,,,,,,,,,,
CPIA public sector management and institutions cluster average (1=low to 6=high),,,,,,,,,,,,,,,,
CPIA social protection rating (1=low to 6=high),,,,,,,,,,,,,,,,
CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,,,,,,,
CPIA equity of public resource use rating (1=low to 6=high),,,,,,,,,,,,,,,,
CPIA quality of public administration rating (1=low to 6=high),,,,,,,,,,,,,,,,
